合同编号,签约方,合同名称,签署日期,到期日期,状态,备注
CT-2025-001,摩点平台,平台服务协议,2025-07-01,2026-07-01,执行中,
CT-2025-002,名创优品,经销合作协议,2025-09-01,2026-09-01,执行中,含寄售条款
CT-2025-003,酷乐潮玩,经销合作协议,2025-09-15,2026-09-15,执行中,含寄售条款
CT-2025-004,TOPTOY,经销合作协议,2025-10-01,2026-10-01,执行中,含寄售条款
CT-2025-005,KKV,经销合作协议,2025-10-15,2026-10-15,执行中,含寄售条款
CT-2025-006,九木杂物社,经销合作协议,2025-11-01,2026-11-01,执行中,含寄售条款
CT-2025-007,沃尔玛,供货合同,2025-11-15,2026-11-15,执行中,买断制
CT-2025-008,广州潮玩前线,区域经销合同,2025-12-01,2026-12-01,执行中,华南区域
CT-2025-009,义乌萌物集,区域经销合同,2025-12-15,2026-12-15,执行中,华东区域
CT-2026-001,林小喵,艺术家合作协议,2025-06-01,2026-06-01,执行中,"BC-01,BC-07 分成8%"
CT-2026-002,陈卷卷,艺术家合作协议,2025-06-15,2026-06-15,执行中,BC-02 分成7%
CT-2026-003,周布布,艺术家合作协议,2025-07-01,2026-07-01,执行中,"BC-03,BC-06 分成8%"
CT-2026-004,刘星野,艺术家合作协议,2025-07-15,2026-07-15,执行中,"BC-04,BC-05 分成7%"
CT-2026-005,赵小喵,艺术家合作协议,2025-08-01,2026-08-01,执行中,BC-08 分成10% 含预付¥5000
